"Net sales disaggregated by significant products and services for 2023, 2022 and 2021 were as follows (in millions):","","","","","","","","",""
"","","2023","","","2022","","","2021",""
"(1)","","","","","","","","",""
"iPhone","$","","200,583","$","","205,489","$","","191,973"
"(1)","","","","","","","","",""
"Mac","","","29,357","","","40,177","","","35,190"
"(1)","","","","","","","","",""
"iPad","","","28,300","","","29,292","","","31,862"
"(1)","","","","","","","","",""
"Wearables, Home and Accessories","","","39,845","","","41,241","","","38,367"
"(2)","","","","","","","","",""
"Services","","","85,200","","","78,129","","","68,425"
"Total net sales","$","","383,285","$","","394,328","$","","365,817"
