"in the capacities and on the dates indicated:","","",""
"","Name","Title","Date"
"","","Chief Executive Officer and Director","November 2, 2023"
"/s/ Timothy D. Cook","","(Principal Executive Officer)",""
"TIMOTHY D. COOK","","",""
"","","Senior Vice President, Chief Financial Officer","November 2, 2023"
"/s/ Luca Maestri","","(Principal Financial Officer)",""
"LUCA MAESTRI","","",""
"","","Senior Director of Corporate Accounting","November 2, 2023"
"/s/ Chris Kondo","","(Principal Accounting Officer)",""
"CHRIS KONDO","","",""
"","","","November 2, 2023"
"/s/ James A. Bell","","Director",""
"JAMES A. BELL","","",""
"","","","November 2, 2023"
"/s/ Al Gore","","Director",""
"AL GORE","","",""
"","","","November 2, 2023"
"/s/ Alex Gorsky","","Director",""
"ALEX GORSKY","","",""
"","","","November 2, 2023"
"/s/ Andrea Jung","","Director",""
"ANDREA JUNG","","",""
"","","","November 2, 2023"
"/s/ Arthur D. Levinson","","Director and Chair of the Board",""
"ARTHUR D. LEVINSON","","",""
"","","","November 2, 2023"
"/s/ Monica Lozano","","Director",""
"MONICA LOZANO","","",""
"","","","November 2, 2023"
"/s/ Ronald D. Sugar","","Director",""
"RONALD D. SUGAR","","",""
"","","","November 2, 2023"
"/s/ Susan L. Wagner","","Director",""
"SUSAN L. WAGNER","","",""
