"","","","2024","","","","2023"
"","Maturities","","Amount","Effective","","Amount","Effective"
"","(calendar year)","","(in millions)","Interest Rate","","(in millions)","Interest Rate"
"2013 – 2023 debt issuances:","","","","","","",""
"Fixed-rate 0.000% – 4.850% notes","2024 – 2062","$","97,341","0.03% – 6.65%","$","106,572","0.03% – 6.72%"
"Total term debt principal","","","97,341","","","106,572",""
"Unamortized premium/(discount) and issuance costs, net","","","(321)","","","(356)",""
"Hedge accounting fair value adjustments","","","(358)","","","(1,113)",""
"Total term debt","","","96,662","","","105,103",""
"Less: Current portion of term debt","","","(10,912)","","","(9,822)",""
"Total non-current portion of term debt","","$","85,750","","$","95,281",""
