0,1,2,3,4,5,6,7,8,9
"The  aggregate  change  in  the  balance  of  gross  unrecognized  tax  benefits,  which  excludes  interest  and  penalties,  for  2023,  2022  and  2021,  is  as  follows  (in",,,,,,,,,
millions):,,,,,,,,,
,,2023,,,2022,,,2021,
Beginning balances,$,,"16,758",$,,"15,477",$,,"16,475"
Increases related to tax positions taken during a prior year,,,"2,044",,,"2,284",,,816
Decreases related to tax positions taken during a prior year,,,"(1,463)",,,"(1,982)",,,"(1,402)"
Increases related to tax positions taken during the current year,,,"2,628",,,"1,936",,,"1,607"
Decreases related to settlements with taxing authorities,,,(19),,,(28),,,"(1,838)"
Decreases related to expiration of the statute of limitations,,,(494),,,(929),,,(181)
Ending balances,$,,"19,454",$,,"16,758",$,,"15,477"
