0,1,2,3,4,5,6,7,8,9
"rate of the Company’s commercial paper was 5.28% and 2.31% as of September 30, 2023 and September 24, 2022, respectively. The following table provides a",,,,,,,,,
"summary of cash flows associated with the issuance and maturities of commercial paper for 2023, 2022 and 2021 (in millions):",,,,,,,,,
,,2023,,,2022,,,2021,
Maturities 90 days or less:,,,,,,,,,
"Proceeds from/(Repayments of) commercial paper, net",$,,"(1,333)",$,,"5,264",$,,(357)
Maturities greater than 90 days:,,,,,,,,,
Proceeds from commercial paper,,,—,,,"5,948",,,"7,946"
Repayments of commercial paper,,,"(2,645)",,,"(7,257)",,,"(6,567)"
"Proceeds from/(Repayments of) commercial paper, net",,,"(2,645)",,,"(1,309)",,,"1,379"
"Total proceeds from/(repayments of) commercial paper, net",$,,"(3,978)",$,,"3,955",$,,"1,022"
