0,1,2,3,4,5
"A summary of the Company’s RSU activity and related information for 2023, 2022 and 2021, is as follows:",,,,,
,Number of,,Weighted-Average,,Aggregate
,RSUs,,Grant Date Fair,,Fair Value
,(in thousands),,Value Per RSU,,(in millions)
"Balance as of September 26, 2020","310,778",$,51.58,,
RSUs granted,"89,363",$,116.33,,
RSUs vested,"(145,766)",$,50.71,,
RSUs canceled,"(13,948)",$,68.95,,
"Balance as of September 25, 2021","240,427",$,75.16,,
RSUs granted,"91,674",$,150.70,,
RSUs vested,"(115,861)",$,72.12,,
RSUs canceled,"(14,739)",$,99.77,,
"Balance as of September 24, 2022","201,501",$,109.48,,
RSUs granted,"88,768",$,150.87,,
RSUs vested,"(101,878)",$,97.31,,
RSUs canceled,"(8,144)",$,127.98,,
"Balance as of September 30, 2023","180,247",$,135.91,$,"30,860"
